,CASH_FLOW_INFLECTION_CONTINUATION,HIGH_CONVICTION_FILING_DRIFT_V2,HEDGED_RESIDUAL_MOMENTUM_V3,POST_FILING_MARGIN_ACCELERATION,POST_FILING_CASH_FLOW_SURPRISE,DEBT_REDUCTION_EVENT_DRIFT,FCF_INFLECTION_QUALITY,PROFITABILITY_TURNAROUND_MATCHED_CONTROL,C3A1_002,C3A1_003,C3A1_013,C3A2_008,C3A1_001,C3A1_015,FUNDAMENTAL_MOMENTUM,EARNINGS_QUALITY,MARGIN_IMPROVEMENT,OVERNIGHT_INTRADAY_ENSEMBLE,FILING_SHOCK_CONTINUATION,FUNDAMENTAL_SHOCK_RECOVERY,CASH_FLOW_GROWTH_QUALITY,OVERNIGHT_GAP_REVERSAL_REDUCED_TURNOVER,LIQUIDITY_ADJUSTED_MOMENTUM
CASH_FLOW_INFLECTION_CONTINUATION,1.0,0.20856003780103421,0.05206072706057346,0.06771077484296721,0.5530797244049491,0.1153191893191823,0.20370311103129984,-0.0021869968412507497,0.014862881154746372,-0.02784084949208663,-0.23008296673172787,0.016829992750202544,0.08397543530324392,-0.04698208615028717,0.14187183609747755,0.02815433966265876,-0.012512900726904462,0.19063824947729838,0.13036841290656964,-0.020700686273780425,0.004936868739501962,0.15338907152498515,-0.020990469592992014
HIGH_CONVICTION_FILING_DRIFT_V2,0.20856003780103421,1.0,0.06937924024628686,0.018004196289109452,0.16398100276233749,0.04108323668415086,0.1714101531367393,-0.03358629502952149,0.10945151862931388,0.16151311571945934,0.06063132306100565,0.1388886942768103,0.12930867743382302,0.13739696893890282,0.1176184900532092,0.0764712532387059,-0.029639419728206207,0.19240018247302218,0.10627862476793251,0.008918419977167304,0.05277119552195156,0.12430216759146255,0.1807121309663363
HEDGED_RESIDUAL_MOMENTUM_V3,0.05206072706057346,0.06937924024628686,1.0,0.07171603011752675,0.03813961406462249,0.02123564270327446,-0.032894839053310795,-0.12676426213462316,0.03909817277525366,0.025238150642277028,0.0004180339340577327,0.02226378730155504,0.10696897977735535,0.07690895141864411,0.1541839633061617,0.04311744448115989,0.013070958391685816,0.06537962145200112,0.13369219422780143,0.013131433883154985,0.0393923614624713,0.13941691895275565,0.03214661973494163
POST_FILING_MARGIN_ACCELERATION,0.06771077484296721,0.018004196289109452,0.07171603011752675,1.0,0.04536612482713825,0.0034008347174763545,0.12411697485625452,-0.009398657677576756,0.09196171027750084,0.10390362373004872,-0.07339674983916657,0.1251072966989374,0.12240687114797397,0.12406076882953905,0.09468844743356902,0.0692005638290569,-0.01873627531241556,0.1134247877389925,0.07660225179947651,-0.007346189842115099,-0.01714974134901548,0.07392402353902851,0.11569936200942937
POST_FILING_CASH_FLOW_SURPRISE,0.5530797244049491,0.16398100276233749,0.03813961406462249,0.04536612482713825,1.0,0.09716484523609012,0.15326401237634626,-0.041319878103731215,0.03705782870513545,-0.0037072224042681836,-0.1259506743472886,0.04608939988457789,0.07686220903434712,-0.0018232027372927224,0.12270393315226566,0.02541478181713196,-0.023230261693889507,0.12591866131255636,0.10343124998303838,-0.003434584437077845,0.0023647333752614117,0.06467801286152494,0.005196969995320904
DEBT_REDUCTION_EVENT_DRIFT,0.1153191893191823,0.04108323668415086,0.02123564270327446,0.0034008347174763545,0.09716484523609012,1.0,0.10115730151101973,0.07415485729473363,-0.05551262331754787,-0.05203741965112948,-0.07446335527634908,-0.07194681701015712,-0.047116893997998455,-0.06691523924493735,0.08069934955402049,0.06411523594577172,0.04384100739838458,0.16355109223604677,0.06275842470031856,0.04360829157734175,0.04137836765353296,0.14713657994550497,-0.07727694590611785
FCF_INFLECTION_QUALITY,0.20370311103129984,0.1714101531367393,-0.032894839053310795,0.12411697485625452,0.15326401237634626,0.10115730151101973,1.0,0.044230409666362276,0.014712989282044118,0.019682221862144734,-0.17001553724180746,0.008698023553377027,0.0528082914559578,-0.007506056901621318,0.10285929530466768,0.08004504552350938,0.016202270209830085,0.18575317810682368,0.08395480615515519,-0.03318228355487179,0.015380638521712836,0.14939251625236039,0.03470614098403956
PROFITABILITY_TURNAROUND_MATCHED_CONTROL,-0.0021869968412507497,-0.03358629502952149,-0.12676426213462316,-0.009398657677576756,-0.041319878103731215,0.07415485729473363,0.044230409666362276,1.0,-0.16189733340488735,-0.1432353504782089,-0.15721587947658797,-0.17607415705957985,-0.18521069983186667,-0.1942981911900813,-0.14487307650813044,-0.13852860023006733,0.06807269226146888,-0.12218071469904795,-0.15872862064231708,-0.027686915402650145,-0.09745327949592496,-0.09055371605668637,-0.21202498515389803
C3A1_002,0.014862881154746372,0.10945151862931388,0.03909817277525366,0.09196171027750084,0.03705782870513545,-0.05551262331754787,0.014712989282044118,-0.16189733340488735,1.0,0.7452832069386333,0.2507553522793326,0.8649238894092658,0.7806948274873096,0.6816759986663568,0.08527973673943791,0.09418130209937021,-0.052004261076311384,0.11281658185535236,0.17711061292078284,0.07014994240099064,0.06008638952062933,0.08239214199996939,0.6827922619338543
C3A1_003,-0.02784084949208663,0.16151311571945934,0.025238150642277028,0.10390362373004872,-0.0037072224042681836,-0.05203741965112948,0.019682221862144734,-0.1432353504782089,0.7452832069386333,1.0,0.21315073787751934,0.8143195541803954,0.6863031147651768,0.8223810040325341,0.08876352018322209,0.08776525507989832,-0.03129683982374166,0.101077812493021,0.14945861828469892,0.07029916942751524,0.06889569857892135,0.08927772196354929,0.7798224587157294
C3A1_013,-0.23008296673172787,0.06063132306100565,0.0004180339340577327,-0.07339674983916657,-0.1259506743472886,-0.07446335527634908,-0.17001553724180746,-0.15721587947658797,0.2507553522793326,0.21315073787751934,1.0,0.2438953827539246,-0.017362773004585438,0.24561815395998232,-0.09297695721124007,-0.024540185554607387,-0.09628847693548732,-0.1641028716881007,-0.023255241737497757,-0.02032464763595994,-0.03070521940122624,-0.24393009942601385,0.2505615466052386
C3A2_008,0.016829992750202544,0.1388886942768103,0.02226378730155504,0.1251072966989374,0.04608939988457789,-0.07194681701015712,0.008698023553377027,-0.17607415705957985,0.8649238894092658,0.8143195541803954,0.2438953827539246,1.0,0.748213219211797,0.7429257224101442,0.10595291736707502,0.0906766243008025,-0.04737034777924128,0.11022254475484221,0.17913390151435704,0.07191780694534167,0.07465595682656011,0.07265377293620527,0.7114982982730815
C3A1_001,0.08397543530324392,0.12930867743382302,0.10696897977735535,0.12240687114797397,0.07686220903434712,-0.047116893997998455,0.0528082914559578,-0.18521069983186667,0.7806948274873096,0.6863031147651768,-0.017362773004585438,0.748213219211797,1.0,0.6522834054456128,0.12713743623087717,0.09471155302296129,-0.08695060757356415,0.13533870921502256,0.18420401886956825,0.06226115779680809,0.05600022619174452,0.18129461266251704,0.634024988712891
C3A1_015,-0.04698208615028717,0.13739696893890282,0.07690895141864411,0.12406076882953905,-0.0018232027372927224,-0.06691523924493735,-0.007506056901621318,-0.1942981911900813,0.6816759986663568,0.8223810040325341,0.24561815395998232,0.7429257224101442,0.6522834054456128,1.0,0.08907457865572292,0.06229617249304239,-0.06297612657764728,0.02303640288214889,0.1359783210612466,0.06834999467745738,0.048851718880234866,0.07625878136866074,0.7255437883535576
FUNDAMENTAL_MOMENTUM,0.14187183609747755,0.1176184900532092,0.1541839633061617,0.09468844743356902,0.12270393315226566,0.08069934955402049,0.10285929530466768,-0.14487307650813044,0.08527973673943791,0.08876352018322209,-0.09297695721124007,0.10595291736707502,0.12713743623087717,0.08907457865572292,1.0,0.2885096212423657,0.5010222605889584,0.3247236943752393,0.7800376072289692,0.06915884993065756,0.5510836812405621,0.2230553282981448,0.11358127249149147
EARNINGS_QUALITY,0.02815433966265876,0.0764712532387059,0.04311744448115989,0.0692005638290569,0.02541478181713196,0.06411523594577172,0.08004504552350938,-0.13852860023006733,0.09418130209937021,0.08776525507989832,-0.024540185554607387,0.0906766243008025,0.09471155302296129,0.06229617249304239,0.2885096212423657,1.0,0.11574204678848354,0.3356089457852392,0.24441325202449748,0.05399001555330595,0.4952058049362285,0.1425486804093161,0.10166074007908928
MARGIN_IMPROVEMENT,-0.012512900726904462,-0.029639419728206207,0.013070958391685816,-0.01873627531241556,-0.023230261693889507,0.04384100739838458,0.016202270209830085,0.06807269226146888,-0.052004261076311384,-0.03129683982374166,-0.09628847693548732,-0.04737034777924128,-0.08695060757356415,-0.06297612657764728,0.5010222605889584,0.11574204678848354,1.0,0.05798273963743464,0.43059746344655436,0.10217949590507283,0.516364016846165,0.038717220268583354,-0.054564190827561504
OVERNIGHT_INTRADAY_ENSEMBLE,0.19063824947729838,0.19240018247302218,0.06537962145200112,0.1134247877389925,0.12591866131255636,0.16355109223604677,0.18575317810682368,-0.12218071469904795,0.11281658185535236,0.101077812493021,-0.1641028716881007,0.11022254475484221,0.13533870921502256,0.02303640288214889,0.3247236943752393,0.3356089457852392,0.05798273963743464,1.0,0.2851096203469383,0.031140942939792245,0.2392356931766356,0.42259215920450366,0.12796956807643875
FILING_SHOCK_CONTINUATION,0.13036841290656964,0.10627862476793251,0.13369219422780143,0.07660225179947651,0.10343124998303838,0.06275842470031856,0.08395480615515519,-0.15872862064231708,0.17711061292078284,0.14945861828469892,-0.023255241737497757,0.17913390151435704,0.18420401886956825,0.1359783210612466,0.7800376072289692,0.24441325202449748,0.43059746344655436,0.2851096203469383,1.0,0.1205542937659169,0.5526090044617664,0.1675346314922252,0.17533744384833108
FUNDAMENTAL_SHOCK_RECOVERY,-0.020700686273780425,0.008918419977167304,0.013131433883154985,-0.007346189842115099,-0.003434584437077845,0.04360829157734175,-0.03318228355487179,-0.027686915402650145,0.07014994240099064,0.07029916942751524,-0.02032464763595994,0.07191780694534167,0.06226115779680809,0.06834999467745738,0.06915884993065756,0.05399001555330595,0.10217949590507283,0.031140942939792245,0.1205542937659169,1.0,0.0942745065756812,0.05506861556311872,0.06718546919926034
CASH_FLOW_GROWTH_QUALITY,0.004936868739501962,0.05277119552195156,0.0393923614624713,-0.01714974134901548,0.0023647333752614117,0.04137836765353296,0.015380638521712836,-0.09745327949592496,0.06008638952062933,0.06889569857892135,-0.03070521940122624,0.07465595682656011,0.05600022619174452,0.048851718880234866,0.5510836812405621,0.4952058049362285,0.516364016846165,0.2392356931766356,0.5526090044617664,0.0942745065756812,1.0,0.07808908489845469,0.0930544810765835
OVERNIGHT_GAP_REVERSAL_REDUCED_TURNOVER,0.15338907152498515,0.12430216759146255,0.13941691895275565,0.07392402353902851,0.06467801286152494,0.14713657994550497,0.14939251625236039,-0.09055371605668637,0.08239214199996939,0.08927772196354929,-0.24393009942601385,0.07265377293620527,0.18129461266251704,0.07625878136866074,0.2230553282981448,0.1425486804093161,0.038717220268583354,0.42259215920450366,0.1675346314922252,0.05506861556311872,0.07808908489845469,1.0,0.11874242211953898
LIQUIDITY_ADJUSTED_MOMENTUM,-0.020990469592992014,0.1807121309663363,0.03214661973494163,0.11569936200942937,0.005196969995320904,-0.07727694590611785,0.03470614098403956,-0.21202498515389803,0.6827922619338543,0.7798224587157294,0.2505615466052386,0.7114982982730815,0.634024988712891,0.7255437883535576,0.11358127249149147,0.10166074007908928,-0.054564190827561504,0.12796956807643875,0.17533744384833108,0.06718546919926034,0.0930544810765835,0.11874242211953898,1.0
