strategy_id,test_period_start,test_period_end,observations,gross_cumulative_return,net_cumulative_return,annualized_net_return,net_sharpe,annualized_volatility,max_drawdown,average_daily_turnover,annualized_turnover,total_cost_drag,preliminary_oos_start,preliminary_oos_convention,preliminary_oos_net_return,preliminary_oos_sharpe,average_eligible_count,minimum_eligible_count,recommendation,research_status,live_allocation_approved,trade_cost_reconciliation_error,double_cost_net_return,double_cost_sharpe,delayed_execution_net_return,delayed_execution_sharpe,latest_max_abs_weight,latest_weight_hhi,maximum_active_correlation,average_active_correlation,marginal_combined_portfolio_sharpe,actual_universe_used,labels,execution_enabled,economic_rationale,eligible_portfolio_days,classification,classification_reason
LIQUIDITY_SHOCK_RECOVERY,2018-01-02,2026-06-09,2120,-0.09344359370729738,-0.09898833535484142,-0.01231399927516541,-0.02759170904408895,0.13230294472566756,-0.3106813286696888,0.0057861635220125785,1.4581132075471699,0.006133333333333333,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,-0.1377122836460668,-0.38256840679588444,8.078627968337731,20,REJECT_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,1.734723475976807e-18,-0.10450415390798806,-0.03310089351918149,-0.11132201849507539,-0.04063736817515322,0.08333333333333333,0.08333333333333333,0.29359487135025564,0.13965908233805976,0.006315129255971996,OHLCV_UNIVERSE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,Fade sufficiently broad abnormal price declines accompanied by volume shocks.,138,DATA_INSUFFICIENT,Eligible cross-section is below the minimum diagnostic threshold.
OPERATING_EFFICIENCY_IMPROVEMENT,2018-01-02,2026-06-09,2120,0.1905560103093331,0.17750367928152877,0.019612469481633088,0.32443672264736517,0.06672696386504949,-0.1521765288032857,0.010403827344221345,2.621764490743779,0.011028056984874626,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,0.031779007831128414,0.20472411758147102,145.0815138282387,114,REVIEW,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,1.734723475976807e-18,0.1645909354372299,0.3047961862333525,0.15373770951722765,0.2895371610067974,0.013157894736842105,0.013157894736842105,0.4601100097928797,0.24314305965151622,-0.004507773015663741,FUNDAMENTAL_UNIVERSE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,"Prefer improving operating margin, asset turnover, and operating cash return.",2061,REPAIR,One or more strict ACTIVE gates failed; negative or low-Sharpe candidates are not promoted.
CAPEX_EFFICIENCY,2018-01-02,2026-06-09,2120,-0.049268760477359175,-0.06335469084409473,-0.007749792140931411,-0.10452448077556889,0.05821822051780618,-0.19403380716602114,0.014084006071636753,3.549169530052462,0.01492904643593496,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,-0.06087100241755805,-0.32745730067163026,153.35031538088307,130,REJECT_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,-0.07723517278203973,-0.13500320428768245,-0.047633195145249,-0.07100064818875869,0.012195121951219513,0.012195121951219514,0.26468227699889996,0.11231790586292392,-0.022981659045575697,FUNDAMENTAL_UNIVERSE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,Prefer growth and free cash flow achieved with conservative asset expansion.,2061,ARCHIVED,Full-period and preliminary OOS returns are both non-positive.
PROFITABLE_SMALL_CAP,2018-01-02,2026-06-09,2120,-0.10472195100163151,-0.12824362980414983,-0.016181708713051135,-0.0915710532709658,0.11097199712548479,-0.278818896668534,0.025117924528301888,6.3297169811320755,0.026625,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,-0.16595313360553487,-0.47140404403216407,35.80980106744299,20,REJECT_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,-0.1511545411541909,-0.12008425388841404,-0.15531013493458534,-0.12448929663071794,0.0625,0.0625,0.04515836200846178,0.019471827267832982,-0.028336511345039228,SMALL_CAP_FUNDAMENTAL_UNIVERSE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,Prefer profitable liquid small-cap names outside the microcap tail.,2061,ARCHIVED,Full-period and preliminary OOS returns are both non-positive.
CASH_FLOW_MOMENTUM,2018-01-02,2026-06-09,2120,-0.11787369670481584,-0.1285678969208116,-0.01622521565263335,-0.2425777427592529,0.060011536927930285,-0.23558185398061915,0.011513197360938853,2.901325734956591,0.012203989202595182,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,-0.1521130934469529,-1.0209642460288706,152.57302280446385,127,REJECT_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,-0.13913533812125622,-0.26678772150083807,-0.16071444512187993,-0.317192597511072,0.011904761904761904,0.011904761904761902,0.4120869564990273,0.16127761146138703,-0.0415542786354417,FUNDAMENTAL_UNIVERSE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,Prefer improving operating cash flow and operating cash return.,2061,ARCHIVED,Full-period and preliminary OOS returns are both non-positive.
REVENUE_ACCELERATION,2018-01-02,2026-06-09,2120,0.06885819501573431,0.058086898600020476,0.0067341491083461325,0.1515043646303115,0.05387501510695579,-0.20338511582935936,0.009546070885413925,2.405609863124309,0.01011883513853876,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,0.05931471573036018,0.42048420948835274,144.5793304221252,114,REVIEW,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,0.04742116152558862,0.12911157767492304,0.09376869167691537,0.22596431417157842,0.013157894736842105,0.013157894736842105,0.23174488772580268,0.06578123263802974,0.006096329786071553,FUNDAMENTAL_UNIVERSE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,Prefer accelerating annual revenue growth.,2061,REPAIR,One or more strict ACTIVE gates failed; negative or low-Sharpe candidates are not promoted.
LOW_LEVERAGE_QUALITY,2018-01-02,2026-06-09,2120,0.007611802777385268,-0.0065180501356841836,-0.0007770211309555686,0.03704386736943212,0.09103275134215663,-0.29491825210525247,0.013327254155122915,3.3584680470909745,0.014126889404430291,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,-0.05249689388764489,-0.22157398421606792,102.32508491023775,80,REJECT_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,-0.02045250083481176,0.018597933527974668,-0.01771971925834226,0.02199901179494105,0.016666666666666666,0.016666666666666663,0.3298844223770398,0.19306640076839926,-0.033843077360136586,FUNDAMENTAL_UNIVERSE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,Prefer lower liabilities relative to assets with operating quality.,2061,ARCHIVED,Full-period and preliminary OOS returns are both non-positive.
OVERNIGHT_GAP_REVERSAL_REDUCED_TURNOVER,2018-01-02,2026-06-09,2120,0.4557874187555675,0.3974593355489371,0.0405816583246148,0.4075049003504151,0.11328897622225738,-0.227103362479242,0.03858357219975237,9.723060194337597,0.040898586531737516,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,0.1078339110801374,0.3491225290879248,108.20572537603105,20,KEEP_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,6.938893903907228e-18,0.3414409263394551,0.3645360310575105,0.47526438848001273,0.4649391921991225,0.08333333333333333,0.08333333333333334,0.4225921334060403,0.14410926277795533,0.031890688825993774,OHLCV_UNIVERSE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,Fade only large overnight gaps and rebalance less frequently.,2042,ACTIVE,"Passed positive return, OOS, Sharpe, robustness, coverage, correlation, and marginal portfolio gates."
GROSS_PROFITABILITY_GROWTH,2018-01-02,2026-06-09,2120,-0.11450301619000769,-0.12409601752839905,-0.015626477308837594,-0.16114330495498536,0.07857377209930527,-0.2904743041358263,0.0102772706840738,2.5898722123865974,0.010893906925118227,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,0.08885096652202562,0.44690643992193824,78.78165938864629,65,REVIEW,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,-0.1335871051268176,-0.17762328293855165,-0.149044138378584,-0.20661168853734843,0.022727272727272728,0.022727272727272728,0.2617050788959942,0.12969623978346165,-0.04606355233677539,FUNDAMENTAL_UNIVERSE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,Prefer improvement in gross profit/assets and operating income/assets.,2061,REPAIR,One or more strict ACTIVE gates failed; negative or low-Sharpe candidates are not promoted.
CASH_FLOW_MARGIN_IMPROVEMENT,2018-01-02,2026-06-09,2120,0.06105060885039992,0.04487746340657606,0.00523189536974189,0.11405112808408623,0.06347756441321484,-0.12707142728324772,0.014498824418785089,3.653703753533842,0.015368753883912192,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,-0.058319450449570986,-0.29888242862749514,149.16690926734594,121,REJECT_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,1.734723475976807e-18,0.02894694118743013,0.08528393325108917,0.02292070209846986,0.07429188965187236,0.012195121951219513,0.012195121951219513,0.3553739204356117,0.20780266701727085,-0.018838562334793973,FUNDAMENTAL_UNIVERSE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,"Prefer improving cash-flow margin, operating cash return, and free cash flow.",2061,REPAIR,One or more strict ACTIVE gates failed; negative or low-Sharpe candidates are not promoted.
QUALITY_MOMENTUM_COMPOSITE,2018-01-02,2026-06-09,2120,-0.03860304110446544,-0.05503256617848573,-0.0067059110666816135,-0.06440918909363033,0.06827124208075698,-0.179322016902131,0.01626588470110909,4.099002944679491,0.017241837783175635,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,0.010503940993002558,0.09224447214637696,119.21785540999515,86,REVIEW,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,3.469446951953614e-18,-0.07118556066295378,-0.0944317967408839,-0.07661525296721672,-0.10587048497266593,0.015151515151515152,0.015151515151515152,0.3597005316304062,0.2088727157274137,-0.0369528763378999,FUNDAMENTAL_UNIVERSE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,"Combine fundamental momentum, earnings quality, and margin improvement before construction.",2061,REPAIR,One or more strict ACTIVE gates failed; negative or low-Sharpe candidates are not promoted.
LOW_ACCRUAL_MOMENTUM,2018-01-02,2026-06-09,2120,0.407123781522972,0.36386866605966905,0.0375765158741872,0.4343524005786921,0.09541659872335374,-0.12739703679548653,0.0294065040739789,7.410439026642683,0.031170894318417637,2023-11-24,Chronological 70/30 split; PRELIMINARY_OOS,0.0946571026418499,0.43526346124765813,155.74204946996466,130,KEEP_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,0.3219289625735393,0.39517962500869525,0.4428077303307325,0.5070873805008957,0.011904761904761904,0.011904761904761902,0.6919200785523018,0.3344668095065624,-0.019450524452023332,FUNDAMENTAL_UNIVERSE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH ONLY,False,Prefer lower accruals combined with positive price momentum.,1981,REPAIR,One or more strict ACTIVE gates failed; negative or low-Sharpe candidates are not promoted.
