,FUNDAMENTAL_MOMENTUM,CAPEX_EFFICIENCY,EARNINGS_QUALITY,PROFITABLE_SMALL_CAP,CONSERVATIVE_ASSET_GROWTH,CASH_FLOW_YIELD,MARGIN_IMPROVEMENT,REVENUE_ACCELERATION,CASH_FLOW_MOMENTUM,LOW_LEVERAGE_QUALITY,QUALITY_AT_REASONABLE_PRICE,SHAREHOLDER_YIELD,C3A1_002,C3A1_003,C3A1_013,C3A2_008,C3A2_009,C3A1_001,C3A1_005
FUNDAMENTAL_MOMENTUM,1.0,0.5657480712579881,0.28850837826569753,0.5356278895175786,-0.3671267635037184,0.0007674127983656374,0.5010241671164755,0.30104300594196076,0.6677081493301679,0.339750682068421,0.01947125256875567,-0.29526669683579204,0.0852791539064484,0.08876355067228534,-0.09297783012275607,0.10595344088718817,0.12075173858143577,0.12713668006266335,0.05505919885561948
CAPEX_EFFICIENCY,0.5657480712579881,1.0,0.17650435062702363,0.39363207672403694,0.07613012907267462,0.2001610473862054,0.12010910001815252,0.43992635114877054,0.3210586061584979,0.19206873522306492,0.23910316671530543,-0.06639005001465598,0.15289268275715417,0.12715639178273072,0.03990081144421424,0.13440093712630732,0.0810959234525108,0.18369447376734072,0.1363824265889624
EARNINGS_QUALITY,0.28850837826569753,0.17650435062702363,1.0,0.31676404068795283,-0.30867637838892653,0.3256020871461978,0.1157416968103384,-0.04438248876930154,0.167285068586228,0.5565592765094011,0.20392838776716724,-0.08233474885253347,0.0941836065304509,0.08776803047080384,-0.024540059101258654,0.09067897201227021,0.12307341672129657,0.09471282199393083,0.03987454332124054
PROFITABLE_SMALL_CAP,0.5356278895175786,0.39363207672403694,0.31676404068795283,1.0,-0.4576080186126142,0.2196804534191243,0.022513202367320278,0.17100369782128572,0.31028309894569367,0.4525210501744288,0.37813351887832947,-0.011648092648052614,-0.03800930642553504,-0.05951235749451231,-0.18710197995689065,-0.03143883420589494,0.06805231752682955,0.03789786831889052,-0.11272500502517553
CONSERVATIVE_ASSET_GROWTH,-0.3671267635037184,0.07613012907267462,-0.30867637838892653,-0.4576080186126142,1.0,0.04558181662138399,-0.13986006143076565,0.042338749074771836,-0.2073654749151444,-0.4783487881111122,0.017416529145123587,0.2658213289253387,-0.07336229144605627,-0.056023963421062854,0.23461514374000772,-0.09567890292525043,-0.06636904884421098,-0.14759659966694025,0.011774593804569225
CASH_FLOW_YIELD,0.0007674127983656374,0.2001610473862054,0.3256020871461978,0.2196804534191243,0.04558181662138399,1.0,-0.1515460539806035,0.051718161492874226,-0.03606167788589293,0.17107076657607734,0.7261890391661318,0.2728235911942705,0.02064332145581416,0.004879272672136884,0.09383223417000595,-0.0097677988818168,0.08898918051023692,0.008125076285701187,-0.013221401788550134
MARGIN_IMPROVEMENT,0.5010241671164755,0.12010910001815252,0.1157416968103384,0.022513202367320278,-0.13986006143076565,-0.1515460539806035,1.0,0.016074651649456602,0.46155959965261084,0.0010507503797682776,-0.18663413729530076,-0.21872422245562662,-0.05200403189377946,-0.031296524932930905,-0.09628664328803085,-0.047370794010218584,0.01266691239605108,-0.08694976007897391,-0.08004564693641655
REVENUE_ACCELERATION,0.30104300594196076,0.43992635114877054,-0.04438248876930154,0.17100369782128572,0.042338749074771836,0.051718161492874226,0.016074651649456602,1.0,0.18117792111139877,-0.04193616130643138,0.011202850977453023,-0.06736323664117624,0.17591820589686724,0.12364950119581317,0.06065668341574232,0.16007740251584382,0.0851198500712547,0.1771135824799704,0.12698674121923273
CASH_FLOW_MOMENTUM,0.6677081493301679,0.3210586061584979,0.167285068586228,0.31028309894569367,-0.2073654749151444,-0.03606167788589293,0.46155959965261084,0.18117792111139877,1.0,0.2396800488280006,-0.023864674942174716,-0.2676837754914394,0.026800796074519746,0.03221721900496404,-0.06569137593223007,0.03582075258091891,0.0645732962065397,0.03653617512404454,0.008687879246198502
LOW_LEVERAGE_QUALITY,0.339750682068421,0.19206873522306492,0.5565592765094011,0.4525210501744288,-0.4783487881111122,0.17107076657607734,0.0010507503797682776,-0.04193616130643138,0.2396800488280006,1.0,0.28126354528618636,-0.19568901282830173,0.18095450134835753,0.16478144918264997,-0.008958481002179875,0.18446316937028584,0.1462168364488992,0.20415748153408536,0.18205773255386926
QUALITY_AT_REASONABLE_PRICE,0.01947125256875567,0.23910316671530543,0.20392838776716724,0.37813351887832947,0.017416529145123587,0.7261890391661318,-0.18663413729530076,0.011202850977453023,-0.023864674942174716,0.28126354528618636,1.0,0.3095166047225809,-0.004458444101244215,-0.01792200476756828,0.0845920842222987,-0.02150849448164523,0.07193970804106099,0.009901802355521851,0.012742089202047302
SHAREHOLDER_YIELD,-0.29526669683579204,-0.06639005001465598,-0.08233474885253347,-0.011648092648052614,0.2658213289253387,0.2728235911942705,-0.21872422245562662,-0.06736323664117624,-0.2676837754914394,-0.19568901282830173,0.3095166047225809,1.0,-0.19462686111104352,-0.1534515310900878,0.10016554792202709,-0.17612881044254358,-0.039774839374156434,-0.22336940015337964,-0.12982339093828138
C3A1_002,0.0852791539064484,0.15289268275715417,0.0941836065304509,-0.03800930642553504,-0.07336229144605627,0.02064332145581416,-0.05200403189377946,0.17591820589686724,0.026800796074519746,0.18095450134835753,-0.004458444101244215,-0.19462686111104352,1.0,0.7452176184729175,0.25070550427492616,0.8648346101602753,0.2659832749386588,0.7808351712985868,0.6674976288044404
C3A1_003,0.08876355067228534,0.12715639178273072,0.08776803047080384,-0.05951235749451231,-0.056023963421062854,0.004879272672136884,-0.031296524932930905,0.12364950119581317,0.03221721900496404,0.16478144918264997,-0.01792200476756828,-0.1534515310900878,0.7452176184729175,1.0,0.2130955367189432,0.8142789075353466,0.22372026402154005,0.6863113949168326,0.8162748112974859
C3A1_013,-0.09297783012275607,0.03990081144421424,-0.024540059101258654,-0.18710197995689065,0.23461514374000772,0.09383223417000595,-0.09628664328803085,0.06065668341574232,-0.06569137593223007,-0.008958481002179875,0.0845920842222987,0.10016554792202709,0.25070550427492616,0.2130955367189432,1.0,0.2438413823587827,0.6722611512466459,-0.01739349990022727,0.36578686229787394
C3A2_008,0.10595344088718817,0.13440093712630732,0.09067897201227021,-0.03143883420589494,-0.09567890292525043,-0.0097677988818168,-0.047370794010218584,0.16007740251584382,0.03582075258091891,0.18446316937028584,-0.02150849448164523,-0.17612881044254358,0.8648346101602753,0.8142789075353466,0.2438413823587827,1.0,0.2567617256551956,0.7483185990975043,0.7359937815031585
C3A2_009,0.12075173858143577,0.0810959234525108,0.12307341672129657,0.06805231752682955,-0.06636904884421098,0.08898918051023692,0.01266691239605108,0.0851198500712547,0.0645732962065397,0.1462168364488992,0.07193970804106099,-0.039774839374156434,0.2659832749386588,0.22372026402154005,0.6722611512466459,0.2567617256551956,1.0,0.10954359648082328,0.24896165486623872
C3A1_001,0.12713668006266335,0.18369447376734072,0.09471282199393083,0.03789786831889052,-0.14759659966694025,0.008125076285701187,-0.08694976007897391,0.1771135824799704,0.03653617512404454,0.20415748153408536,0.009901802355521851,-0.22336940015337964,0.7808351712985868,0.6863113949168326,-0.01739349990022727,0.7483185990975043,0.10954359648082328,1.0,0.5958275896948034
C3A1_005,0.05505919885561948,0.1363824265889624,0.03987454332124054,-0.11272500502517553,0.011774593804569225,-0.013221401788550134,-0.08004564693641655,0.12698674121923273,0.008687879246198502,0.18205773255386926,0.012742089202047302,-0.12982339093828138,0.6674976288044404,0.8162748112974859,0.36578686229787394,0.7359937815031585,0.24896165486623872,0.5958275896948034,1.0
