,RESIDUAL_SHORT_TERM_REVERSAL,VOLUME_PRICE_DIVERGENCE_REVERSAL,RANGE_COMPRESSION_BREAKOUT,LOW_BETA_DEFENSIVE,IDIOSYNCRATIC_VOLATILITY_REVERSAL,LIQUIDITY_ADJUSTED_MOMENTUM,GAP_VOLUME_CONTINUATION,DRAWDOWN_RECOVERY,INTRADAY_STRENGTH_PERSISTENCE,DISPERSION_CONDITIONAL_MOMENTUM,C3A1_002,C3A1_003,C3A1_013,C3A2_008,C3A1_001,C3A1_015,FUNDAMENTAL_MOMENTUM,EARNINGS_QUALITY,MARGIN_IMPROVEMENT,OVERNIGHT_INTRADAY_ENSEMBLE,FILING_SHOCK_CONTINUATION,FUNDAMENTAL_SHOCK_RECOVERY,CASH_FLOW_GROWTH_QUALITY,OVERNIGHT_GAP_REVERSAL_REDUCED_TURNOVER
RESIDUAL_SHORT_TERM_REVERSAL,1.0,0.09201204890662408,-0.2444314427940716,-0.20787399153434277,0.5552095201531753,-0.22328980895814246,0.037360959303211774,-0.19028445778427605,-0.14630585411640165,-0.1576944251427715,-0.1256096075570145,-0.15864795853601463,-0.1596801029655563,-0.15440237321501604,-0.11732085629579483,-0.23238947808344348,0.02812923896968274,-0.018758613285916013,0.06474012866813776,0.07440701245793578,-0.03450559794252868,-0.0022862318003302245,-0.030036932130176632,0.08509699667455359
VOLUME_PRICE_DIVERGENCE_REVERSAL,0.09201204890662408,1.0,-0.4070086754953294,-0.09956201580940867,0.318287654128112,-0.045317003254412506,-0.03747256477075126,-0.3944452051393103,-0.12001050145935963,0.01933711051221879,0.03412094961235994,-0.018519476743304935,-0.12489773423145058,-0.009124786929562494,0.0411257790784403,-0.18509532563492892,0.0023884518568344755,0.012260434125522295,0.022951949579336887,0.0867959475985124,0.02920318390637276,-0.07654681957281564,0.009984167850686104,0.015087006629847523
RANGE_COMPRESSION_BREAKOUT,-0.2444314427940716,-0.4070086754953294,1.0,0.32453270650105054,-0.15222942559788882,0.27442392835621965,0.11192221375407652,0.8180615587443841,0.28672184507573273,0.2707089923718387,0.19929258376078168,0.1756440456197678,0.19763444887693804,0.20794837472563088,0.20481641574676096,0.41135000671459704,-0.02076194843952174,0.014122150218002399,-0.08870654359197637,-0.16562601073291364,0.009662759736361357,0.02583116213826836,0.017251078684911412,-0.06933494932241732
LOW_BETA_DEFENSIVE,-0.20787399153434277,-0.09956201580940867,0.32453270650105054,1.0,-0.1328215929881819,0.3842148335723908,0.055465876347271174,0.21172936898439854,0.0912525030509366,0.35099344000324956,0.312797923565276,0.28691011473758926,0.6305053283640281,0.31578367429368054,0.2009094417158216,0.3637232420457569,-0.1516151533092926,-0.05594691723893675,-0.19772428926885244,-0.23068680576566122,-0.05226652398419732,-0.008347112400156129,-0.050539641870381624,-0.29651405673145514
IDIOSYNCRATIC_VOLATILITY_REVERSAL,0.5552095201531753,0.318287654128112,-0.15222942559788882,-0.1328215929881819,1.0,-0.15016702395618048,-0.06566823214370784,-0.13063578557098135,-0.06829974027587069,-0.07470772199593018,-0.11016857801978924,-0.12706872569930527,-0.13844458303647075,-0.11481102133326934,-0.11254278192989263,-0.23473464978011366,0.021637811928465804,-0.062345093298279516,0.04274018617863412,0.046158831913369315,-0.01771091282934166,-0.03398714889222645,-0.02038136373580858,-0.0224409485986097
LIQUIDITY_ADJUSTED_MOMENTUM,-0.22328980895814246,-0.045317003254412506,0.27442392835621965,0.3842148335723908,-0.15016702395618048,1.0,0.011947169661810052,0.12308267164728856,-0.03319325757983965,0.8702977780408903,0.682790939027223,0.7798222526301681,0.25056207888960735,0.7114976820441937,0.634023368438871,0.7255433027325953,0.11357851612468499,0.10165888522875037,-0.05456498903747408,0.12796690687927118,0.17533451746991965,0.0671851193532974,0.09305270031827227,0.11874240286949488
GAP_VOLUME_CONTINUATION,0.037360959303211774,-0.03747256477075126,0.11192221375407652,0.055465876347271174,-0.06566823214370784,0.011947169661810052,1.0,0.09832728973773193,0.0811947321772169,0.00039183985800721454,-0.004400020848244858,0.019167543433904873,-0.025263174155987455,0.004190662030112571,0.05556686259423529,0.08302069122425479,-0.005358828476336906,0.033504688749438495,-0.028983483391657485,-0.041022897756289485,0.005870450434107167,-0.05620808543869461,0.005505264777242187,-0.051634800363275814
DRAWDOWN_RECOVERY,-0.19028445778427605,-0.3944452051393103,0.8180615587443841,0.21172936898439854,-0.13063578557098135,0.12308267164728856,0.09832728973773193,1.0,0.343752844093428,0.13977486063603953,0.09352745755714455,0.03884617695624337,0.1283191237829431,0.09476816224569826,0.09166505180823631,0.2614800481319787,-0.049280462674503506,-0.051033184057659935,-0.0457256122960898,-0.2151347192816491,-0.016013261411710996,0.0077801649359588556,-0.01133599669943195,-0.07304007383431266
INTRADAY_STRENGTH_PERSISTENCE,-0.14630585411640165,-0.12001050145935963,0.28672184507573273,0.0912525030509366,-0.06829974027587069,-0.03319325757983965,0.0811947321772169,0.343752844093428,1.0,-0.016172364031057897,-0.06091736244312269,-0.07554013261459323,0.10250218622377202,-0.025957379722304486,-0.07337450101649123,0.058770700613522193,-0.07936603125072896,-0.07276544630777713,-0.044153496717107735,-0.35654550202457014,-0.0602205297851846,-0.029935768110774214,-0.05335615947062043,-0.14589860079469902
DISPERSION_CONDITIONAL_MOMENTUM,-0.1576944251427715,0.01933711051221879,0.2707089923718387,0.35099344000324956,-0.07470772199593018,0.8702977780408903,0.00039183985800721454,0.13977486063603953,-0.016172364031057897,1.0,0.6998354794673571,0.7248206384271799,0.18953942789415648,0.7303612893460084,0.6580073185742152,0.6642696069007705,0.12577943884442028,0.12807813785490338,-0.061919648772699835,0.1393892526938611,0.20324918848212756,0.06335114987399479,0.12042857651980748,0.11023060036434862
C3A1_002,-0.1256096075570145,0.03412094961235994,0.19929258376078168,0.312797923565276,-0.11016857801978924,0.682790939027223,-0.004400020848244858,0.09352745755714455,-0.06091736244312269,0.6998354794673571,1.0,0.7452832069386333,0.2507553522793326,0.8649238894092658,0.7806948274873096,0.6816759986663568,0.08527973673943791,0.09418130209937021,-0.052004261076311384,0.11281658185535236,0.17711061292078284,0.07014994240099064,0.06008638952062933,0.08239214199996939
C3A1_003,-0.15864795853601463,-0.018519476743304935,0.1756440456197678,0.28691011473758926,-0.12706872569930527,0.7798222526301681,0.019167543433904873,0.03884617695624337,-0.07554013261459323,0.7248206384271799,0.7452832069386333,1.0,0.21315073787751934,0.8143195541803954,0.6863031147651768,0.8223810040325341,0.08876352018322209,0.08776525507989832,-0.03129683982374166,0.101077812493021,0.14945861828469892,0.07029916942751524,0.06889569857892135,0.08927772196354929
C3A1_013,-0.1596801029655563,-0.12489773423145058,0.19763444887693804,0.6305053283640281,-0.13844458303647075,0.25056207888960735,-0.025263174155987455,0.1283191237829431,0.10250218622377202,0.18953942789415648,0.2507553522793326,0.21315073787751934,1.0,0.2438953827539246,-0.017362773004585438,0.24561815395998232,-0.09297695721124007,-0.024540185554607387,-0.09628847693548732,-0.1641028716881007,-0.023255241737497757,-0.02032464763595994,-0.03070521940122624,-0.24393009942601385
C3A2_008,-0.15440237321501604,-0.009124786929562494,0.20794837472563088,0.31578367429368054,-0.11481102133326934,0.7114976820441937,0.004190662030112571,0.09476816224569826,-0.025957379722304486,0.7303612893460084,0.8649238894092658,0.8143195541803954,0.2438953827539246,1.0,0.748213219211797,0.7429257224101442,0.10595291736707502,0.0906766243008025,-0.04737034777924128,0.11022254475484221,0.17913390151435704,0.07191780694534167,0.07465595682656011,0.07265377293620527
C3A1_001,-0.11732085629579483,0.0411257790784403,0.20481641574676096,0.2009094417158216,-0.11254278192989263,0.634023368438871,0.05556686259423529,0.09166505180823631,-0.07337450101649123,0.6580073185742152,0.7806948274873096,0.6863031147651768,-0.017362773004585438,0.748213219211797,1.0,0.6522834054456128,0.12713743623087717,0.09471155302296129,-0.08695060757356415,0.13533870921502256,0.18420401886956825,0.06226115779680809,0.05600022619174452,0.18129461266251704
C3A1_015,-0.23238947808344348,-0.18509532563492892,0.41135000671459704,0.3637232420457569,-0.23473464978011366,0.7255433027325953,0.08302069122425479,0.2614800481319787,0.058770700613522193,0.6642696069007705,0.6816759986663568,0.8223810040325341,0.24561815395998232,0.7429257224101442,0.6522834054456128,1.0,0.08907457865572292,0.06229617249304239,-0.06297612657764728,0.02303640288214889,0.1359783210612466,0.06834999467745738,0.048851718880234866,0.07625878136866074
FUNDAMENTAL_MOMENTUM,0.02812923896968274,0.0023884518568344755,-0.02076194843952174,-0.1516151533092926,0.021637811928465804,0.11357851612468499,-0.005358828476336906,-0.049280462674503506,-0.07936603125072896,0.12577943884442028,0.08527973673943791,0.08876352018322209,-0.09297695721124007,0.10595291736707502,0.12713743623087717,0.08907457865572292,1.0,0.2885096212423657,0.5010222605889584,0.3247236943752393,0.7800376072289692,0.06915884993065756,0.5510836812405621,0.2230553282981448
EARNINGS_QUALITY,-0.018758613285916013,0.012260434125522295,0.014122150218002399,-0.05594691723893675,-0.062345093298279516,0.10165888522875037,0.033504688749438495,-0.051033184057659935,-0.07276544630777713,0.12807813785490338,0.09418130209937021,0.08776525507989832,-0.024540185554607387,0.0906766243008025,0.09471155302296129,0.06229617249304239,0.2885096212423657,1.0,0.11574204678848354,0.3356089457852392,0.24441325202449748,0.05399001555330595,0.4952058049362285,0.1425486804093161
MARGIN_IMPROVEMENT,0.06474012866813776,0.022951949579336887,-0.08870654359197637,-0.19772428926885244,0.04274018617863412,-0.05456498903747408,-0.028983483391657485,-0.0457256122960898,-0.044153496717107735,-0.061919648772699835,-0.052004261076311384,-0.03129683982374166,-0.09628847693548732,-0.04737034777924128,-0.08695060757356415,-0.06297612657764728,0.5010222605889584,0.11574204678848354,1.0,0.05798273963743464,0.43059746344655436,0.10217949590507283,0.516364016846165,0.038717220268583354
OVERNIGHT_INTRADAY_ENSEMBLE,0.07440701245793578,0.0867959475985124,-0.16562601073291364,-0.23068680576566122,0.046158831913369315,0.12796690687927118,-0.041022897756289485,-0.2151347192816491,-0.35654550202457014,0.1393892526938611,0.11281658185535236,0.101077812493021,-0.1641028716881007,0.11022254475484221,0.13533870921502256,0.02303640288214889,0.3247236943752393,0.3356089457852392,0.05798273963743464,1.0,0.2851096203469383,0.031140942939792245,0.2392356931766356,0.42259215920450366
FILING_SHOCK_CONTINUATION,-0.03450559794252868,0.02920318390637276,0.009662759736361357,-0.05226652398419732,-0.01771091282934166,0.17533451746991965,0.005870450434107167,-0.016013261411710996,-0.0602205297851846,0.20324918848212756,0.17711061292078284,0.14945861828469892,-0.023255241737497757,0.17913390151435704,0.18420401886956825,0.1359783210612466,0.7800376072289692,0.24441325202449748,0.43059746344655436,0.2851096203469383,1.0,0.1205542937659169,0.5526090044617664,0.1675346314922252
FUNDAMENTAL_SHOCK_RECOVERY,-0.0022862318003302245,-0.07654681957281564,0.02583116213826836,-0.008347112400156129,-0.03398714889222645,0.0671851193532974,-0.05620808543869461,0.0077801649359588556,-0.029935768110774214,0.06335114987399479,0.07014994240099064,0.07029916942751524,-0.02032464763595994,0.07191780694534167,0.06226115779680809,0.06834999467745738,0.06915884993065756,0.05399001555330595,0.10217949590507283,0.031140942939792245,0.1205542937659169,1.0,0.0942745065756812,0.05506861556311872
CASH_FLOW_GROWTH_QUALITY,-0.030036932130176632,0.009984167850686104,0.017251078684911412,-0.050539641870381624,-0.02038136373580858,0.09305270031827227,0.005505264777242187,-0.01133599669943195,-0.05335615947062043,0.12042857651980748,0.06008638952062933,0.06889569857892135,-0.03070521940122624,0.07465595682656011,0.05600022619174452,0.048851718880234866,0.5510836812405621,0.4952058049362285,0.516364016846165,0.2392356931766356,0.5526090044617664,0.0942745065756812,1.0,0.07808908489845469
OVERNIGHT_GAP_REVERSAL_REDUCED_TURNOVER,0.08509699667455359,0.015087006629847523,-0.06933494932241732,-0.29651405673145514,-0.0224409485986097,0.11874240286949488,-0.051634800363275814,-0.07304007383431266,-0.14589860079469902,0.11023060036434862,0.08239214199996939,0.08927772196354929,-0.24393009942601385,0.07265377293620527,0.18129461266251704,0.07625878136866074,0.2230553282981448,0.1425486804093161,0.038717220268583354,0.42259215920450366,0.1675346314922252,0.05506861556311872,0.07808908489845469,1.0
