,HEDGED_RESIDUAL_MOMENTUM_V2,ORTHOGONAL_LOW_ACCRUAL_MOMENTUM,CLUSTER_NEUTRAL_MEAN_REVERSION,ASSET_LIGHT_COMPOUNDER,FCF_REINVESTMENT_EFFICIENCY,EARNINGS_QUALITY_VALUE_SPREAD,CASH_CONVERSION_IMPROVEMENT,HIGH_CONVICTION_FILING_DRIFT_V2,CASH_FLOW_INFLECTION_CONTINUATION,BALANCE_SHEET_REPAIR_AFTER_STRESS,C3A1_002,C3A1_003,C3A1_013,C3A2_008,C3A1_001,C3A1_015,FUNDAMENTAL_MOMENTUM,EARNINGS_QUALITY,MARGIN_IMPROVEMENT,OVERNIGHT_INTRADAY_ENSEMBLE,FILING_SHOCK_CONTINUATION,FUNDAMENTAL_SHOCK_RECOVERY,CASH_FLOW_GROWTH_QUALITY,OVERNIGHT_GAP_REVERSAL_REDUCED_TURNOVER,LIQUIDITY_ADJUSTED_MOMENTUM
HEDGED_RESIDUAL_MOMENTUM_V2,1.0,0.05823187912949859,0.02464536187611297,0.11966297642164385,0.12860170857501924,0.002350016215534782,-0.05641472715052052,0.09286214302511943,-0.02169593038826466,0.009320573323118782,-0.08446994139159276,-0.09520212583844022,-0.04453254064575842,-0.089987676868868,0.04525151187123375,-0.01224508842035248,0.18650416473215162,0.04921392612313952,-0.014938846869564168,0.08648508319223037,0.12196566042189451,-0.020402127515483003,0.0284843321748815,0.1659752223317472,-0.08746669914861055
ORTHOGONAL_LOW_ACCRUAL_MOMENTUM,0.05823187912949859,1.0,-0.12889769263702522,0.043529772801845786,0.4248363897392707,0.2716560258700683,0.09790497582620407,0.09832188449172607,-0.19641773356516892,0.11007518686488997,0.3337286997758626,0.31886376059018906,0.263314450826519,0.3436741660146552,0.29304630179929114,0.36008576750976273,0.1426008904010211,0.39495486463285534,-0.051582889138669215,0.17613737446459501,0.15113387298931005,0.08728820641528218,0.2200033883588111,0.06876143973539744,0.386619105959032
CLUSTER_NEUTRAL_MEAN_REVERSION,0.02464536187611297,-0.12889769263702522,1.0,0.12768780986270475,-0.026018346447391035,-0.0008896913848091428,0.07908606919145147,-0.05362663677104845,0.026305131795751786,0.021456067529120722,-0.11209474822413831,-0.10548527159410032,-0.10701864516962256,-0.11878435231382374,-0.09914117646869218,-0.19008284210820947,-0.014900177023317635,-0.08435572658137439,0.04255393741564939,-0.014746378502565192,-0.03998389008391634,-0.03637989899572225,-0.03617212526815613,-0.01707076805571098,-0.13723736379664872
ASSET_LIGHT_COMPOUNDER,0.11966297642164385,0.043529772801845786,0.12768780986270475,1.0,0.31238987337806295,0.09648858178296517,0.18468889277855793,0.012776929481999207,-0.14304339708705177,0.13800295610520702,-0.071489856871595,-0.09283082540638678,0.05950062408141311,-0.07200034842430103,-0.06684399167636235,-0.05808492561840739,0.1072624207229218,-0.0413246564173404,0.04641127568778362,-0.0149183797537671,0.05235957291715211,-0.06642510827616008,0.04300535421601043,-0.03730995367523271,-0.08078170080829782
FCF_REINVESTMENT_EFFICIENCY,0.12860170857501924,0.4248363897392707,-0.026018346447391035,0.31238987337806295,1.0,0.35345478200069375,0.3118840833223159,0.014522773346872199,-0.315560970981105,0.2746929581798738,0.09491583876530094,0.09371381766105107,0.27105960731362,0.13293165065295762,0.05852916094648958,0.13531545225947333,0.2602002910899953,0.19588090392533591,0.04085172928831515,0.09737633024442746,0.2650345422583822,0.056692374548876996,0.20593132892712618,-0.037298332486892745,0.09124125070950961
EARNINGS_QUALITY_VALUE_SPREAD,0.002350016215534782,0.2716560258700683,-0.0008896913848091428,0.09648858178296517,0.35345478200069375,1.0,0.16100631103936722,-0.3300924565764627,-0.3869739378512054,0.13270642230278032,-0.10255570379039902,-0.11184083463188879,0.30071754239581067,-0.11592026725087308,-0.18826980419019315,-0.10403336588852614,-0.20239240554620266,0.07402162976387573,-0.11644744149529136,-0.13118736991702823,-0.1687904687720712,-0.014515592894280482,-0.012673885422935786,-0.26412137705792127,-0.13754860263628135
CASH_CONVERSION_IMPROVEMENT,-0.05641472715052052,0.09790497582620407,0.07908606919145147,0.18468889277855793,0.3118840833223159,0.16100631103936722,1.0,0.16126466890549415,0.02105887437388041,0.16021102643912888,0.03887138048937456,0.03346682605292876,-0.047575056790904104,0.05055012750798775,0.008558185364133329,-0.017179470468640445,0.14562460481996373,0.07930111111833381,0.13554577433918602,-0.07494565356937638,0.16476357974161085,0.004389812411525127,0.18440408712898723,-0.1356462802999732,-0.027944400642980552
HIGH_CONVICTION_FILING_DRIFT_V2,0.09286214302511943,0.09832188449172607,-0.05362663677104845,0.012776929481999207,0.014522773346872199,-0.3300924565764627,0.16126466890549415,1.0,0.5299517290355602,0.007935321592855918,0.06808680762276319,0.06752978935070714,-0.3692013228823743,0.06875745516201966,0.16245140504519837,0.05488110287715239,0.31062988331494806,0.2780121208931696,0.19811177837928695,0.30077640754566987,0.3000085853750657,0.11232289807464867,0.24929176990323262,0.31268713445238216,0.03788064589309001
CASH_FLOW_INFLECTION_CONTINUATION,-0.02169593038826466,-0.19641773356516892,0.026305131795751786,-0.14304339708705177,-0.315560970981105,-0.3869739378512054,0.02105887437388041,0.5299517290355602,1.0,-0.057446127590845594,0.01066000225842951,-0.011629571476318538,-0.4935854015785512,0.00949541885537806,0.09369190151747252,-0.08253433576151595,0.22089703773854016,0.0893323142531988,0.26225568365678265,0.2567815010955116,0.15589226606498682,0.04054851494270541,0.17958514855494187,0.27124004141042685,-0.05264541172794855
BALANCE_SHEET_REPAIR_AFTER_STRESS,0.009320573323118782,0.11007518686488997,0.021456067529120722,0.13800295610520702,0.2746929581798738,0.13270642230278032,0.16021102643912888,0.007935321592855918,-0.057446127590845594,1.0,0.02494426363403208,0.006782221207889909,0.04242875122483731,0.015420674296782443,0.051469835012813187,0.003704473921067159,0.12024162409135775,0.059437910995142944,0.09211063832052718,0.01218743551905945,0.08955969814016444,0.004970702387091044,0.07440546236761504,-0.058348528607412097,0.018743592080264323
C3A1_002,-0.08446994139159276,0.3337286997758626,-0.11209474822413831,-0.071489856871595,0.09491583876530094,-0.10255570379039902,0.03887138048937456,0.06808680762276319,0.01066000225842951,0.02494426363403208,1.0,0.7452832069386333,0.2507553522793326,0.8649238894092658,0.7806948274873096,0.6816759986663568,0.08527973673943791,0.09418130209937021,-0.052004261076311384,0.11281658185535236,0.17711061292078284,0.07014994240099064,0.06008638952062933,0.08239214199996939,0.6827922619338543
C3A1_003,-0.09520212583844022,0.31886376059018906,-0.10548527159410032,-0.09283082540638678,0.09371381766105107,-0.11184083463188879,0.03346682605292876,0.06752978935070714,-0.011629571476318538,0.006782221207889909,0.7452832069386333,1.0,0.21315073787751934,0.8143195541803954,0.6863031147651768,0.8223810040325341,0.08876352018322209,0.08776525507989832,-0.03129683982374166,0.101077812493021,0.14945861828469892,0.07029916942751524,0.06889569857892135,0.08927772196354929,0.7798224587157294
C3A1_013,-0.04453254064575842,0.263314450826519,-0.10701864516962256,0.05950062408141311,0.27105960731362,0.30071754239581067,-0.047575056790904104,-0.3692013228823743,-0.4935854015785512,0.04242875122483731,0.2507553522793326,0.21315073787751934,1.0,0.2438953827539246,-0.017362773004585438,0.24561815395998232,-0.09297695721124007,-0.024540185554607387,-0.09628847693548732,-0.1641028716881007,-0.023255241737497757,-0.02032464763595994,-0.03070521940122624,-0.24393009942601385,0.2505615466052386
C3A2_008,-0.089987676868868,0.3436741660146552,-0.11878435231382374,-0.07200034842430103,0.13293165065295762,-0.11592026725087308,0.05055012750798775,0.06875745516201966,0.00949541885537806,0.015420674296782443,0.8649238894092658,0.8143195541803954,0.2438953827539246,1.0,0.748213219211797,0.7429257224101442,0.10595291736707502,0.0906766243008025,-0.04737034777924128,0.11022254475484221,0.17913390151435704,0.07191780694534167,0.07465595682656011,0.07265377293620527,0.7114982982730815
C3A1_001,0.04525151187123375,0.29304630179929114,-0.09914117646869218,-0.06684399167636235,0.05852916094648958,-0.18826980419019315,0.008558185364133329,0.16245140504519837,0.09369190151747252,0.051469835012813187,0.7806948274873096,0.6863031147651768,-0.017362773004585438,0.748213219211797,1.0,0.6522834054456128,0.12713743623087717,0.09471155302296129,-0.08695060757356415,0.13533870921502256,0.18420401886956825,0.06226115779680809,0.05600022619174452,0.18129461266251704,0.634024988712891
C3A1_015,-0.01224508842035248,0.36008576750976273,-0.19008284210820947,-0.05808492561840739,0.13531545225947333,-0.10403336588852614,-0.017179470468640445,0.05488110287715239,-0.08253433576151595,0.003704473921067159,0.6816759986663568,0.8223810040325341,0.24561815395998232,0.7429257224101442,0.6522834054456128,1.0,0.08907457865572292,0.06229617249304239,-0.06297612657764728,0.02303640288214889,0.1359783210612466,0.06834999467745738,0.048851718880234866,0.07625878136866074,0.7255437883535576
FUNDAMENTAL_MOMENTUM,0.18650416473215162,0.1426008904010211,-0.014900177023317635,0.1072624207229218,0.2602002910899953,-0.20239240554620266,0.14562460481996373,0.31062988331494806,0.22089703773854016,0.12024162409135775,0.08527973673943791,0.08876352018322209,-0.09297695721124007,0.10595291736707502,0.12713743623087717,0.08907457865572292,1.0,0.2885096212423657,0.5010222605889584,0.3247236943752393,0.7800376072289692,0.06915884993065756,0.5510836812405621,0.2230553282981448,0.11358127249149147
EARNINGS_QUALITY,0.04921392612313952,0.39495486463285534,-0.08435572658137439,-0.0413246564173404,0.19588090392533591,0.07402162976387573,0.07930111111833381,0.2780121208931696,0.0893323142531988,0.059437910995142944,0.09418130209937021,0.08776525507989832,-0.024540185554607387,0.0906766243008025,0.09471155302296129,0.06229617249304239,0.2885096212423657,1.0,0.11574204678848354,0.3356089457852392,0.24441325202449748,0.05399001555330595,0.4952058049362285,0.1425486804093161,0.10166074007908928
MARGIN_IMPROVEMENT,-0.014938846869564168,-0.051582889138669215,0.04255393741564939,0.04641127568778362,0.04085172928831515,-0.11644744149529136,0.13554577433918602,0.19811177837928695,0.26225568365678265,0.09211063832052718,-0.052004261076311384,-0.03129683982374166,-0.09628847693548732,-0.04737034777924128,-0.08695060757356415,-0.06297612657764728,0.5010222605889584,0.11574204678848354,1.0,0.05798273963743464,0.43059746344655436,0.10217949590507283,0.516364016846165,0.038717220268583354,-0.054564190827561504
OVERNIGHT_INTRADAY_ENSEMBLE,0.08648508319223037,0.17613737446459501,-0.014746378502565192,-0.0149183797537671,0.09737633024442746,-0.13118736991702823,-0.07494565356937638,0.30077640754566987,0.2567815010955116,0.01218743551905945,0.11281658185535236,0.101077812493021,-0.1641028716881007,0.11022254475484221,0.13533870921502256,0.02303640288214889,0.3247236943752393,0.3356089457852392,0.05798273963743464,1.0,0.2851096203469383,0.031140942939792245,0.2392356931766356,0.42259215920450366,0.12796956807643875
FILING_SHOCK_CONTINUATION,0.12196566042189451,0.15113387298931005,-0.03998389008391634,0.05235957291715211,0.2650345422583822,-0.1687904687720712,0.16476357974161085,0.3000085853750657,0.15589226606498682,0.08955969814016444,0.17711061292078284,0.14945861828469892,-0.023255241737497757,0.17913390151435704,0.18420401886956825,0.1359783210612466,0.7800376072289692,0.24441325202449748,0.43059746344655436,0.2851096203469383,1.0,0.1205542937659169,0.5526090044617664,0.1675346314922252,0.17533744384833108
FUNDAMENTAL_SHOCK_RECOVERY,-0.020402127515483003,0.08728820641528218,-0.03637989899572225,-0.06642510827616008,0.056692374548876996,-0.014515592894280482,0.004389812411525127,0.11232289807464867,0.04054851494270541,0.004970702387091044,0.07014994240099064,0.07029916942751524,-0.02032464763595994,0.07191780694534167,0.06226115779680809,0.06834999467745738,0.06915884993065756,0.05399001555330595,0.10217949590507283,0.031140942939792245,0.1205542937659169,1.0,0.0942745065756812,0.05506861556311872,0.06718546919926034
CASH_FLOW_GROWTH_QUALITY,0.0284843321748815,0.2200033883588111,-0.03617212526815613,0.04300535421601043,0.20593132892712618,-0.012673885422935786,0.18440408712898723,0.24929176990323262,0.17958514855494187,0.07440546236761504,0.06008638952062933,0.06889569857892135,-0.03070521940122624,0.07465595682656011,0.05600022619174452,0.048851718880234866,0.5510836812405621,0.4952058049362285,0.516364016846165,0.2392356931766356,0.5526090044617664,0.0942745065756812,1.0,0.07808908489845469,0.0930544810765835
OVERNIGHT_GAP_REVERSAL_REDUCED_TURNOVER,0.1659752223317472,0.06876143973539744,-0.01707076805571098,-0.03730995367523271,-0.037298332486892745,-0.26412137705792127,-0.1356462802999732,0.31268713445238216,0.27124004141042685,-0.058348528607412097,0.08239214199996939,0.08927772196354929,-0.24393009942601385,0.07265377293620527,0.18129461266251704,0.07625878136866074,0.2230553282981448,0.1425486804093161,0.038717220268583354,0.42259215920450366,0.1675346314922252,0.05506861556311872,0.07808908489845469,1.0,0.11874242211953898
LIQUIDITY_ADJUSTED_MOMENTUM,-0.08746669914861055,0.386619105959032,-0.13723736379664872,-0.08078170080829782,0.09124125070950961,-0.13754860263628135,-0.027944400642980552,0.03788064589309001,-0.05264541172794855,0.018743592080264323,0.6827922619338543,0.7798224587157294,0.2505615466052386,0.7114982982730815,0.634024988712891,0.7255437883535576,0.11358127249149147,0.10166074007908928,-0.054564190827561504,0.12796956807643875,0.17533744384833108,0.06718546919926034,0.0930544810765835,0.11874242211953898,1.0
