,QUALITY_PROFITABILITY,FUNDAMENTAL_MOMENTUM,CAPEX_EFFICIENCY,EARNINGS_QUALITY,VALUE_QUALITY,PROFITABLE_SMALL_CAP,C2A2_020,C3A1_002,C3A1_003,C3A1_006,C3A1_012,C3A1_013,C3A2_008,C3A2_009,C3A1_001,C3A1_004,C3A1_005,C3A1_015,C2A2_004
QUALITY_PROFITABILITY,1.0,0.2496255610683001,0.22392020910294966,0.16774315150375588,0.35581116442173505,0.2728165585666891,0.2211423666642583,0.12387589380312473,0.09989361636402483,0.21873852085634996,0.07281402593491548,0.1720664582243403,0.11794242994130057,0.11567236035041195,0.11327994564823288,0.15678624683136677,0.16594949633128556,0.14841147636115767,0.01611343682417809
FUNDAMENTAL_MOMENTUM,0.2496255610683001,1.0,0.5185487502249305,0.3103832896680481,-0.02925629118624344,0.3963954100799473,-0.14173072615977575,0.1302614411170829,0.12271767029372062,-0.027518022764343522,-0.15817407366925632,-0.0451869547783959,0.15017776687305065,0.1280210175322022,0.1394485115130445,0.14923149504597388,0.10071527970891403,0.12034210478183911,0.19895865639346605
CAPEX_EFFICIENCY,0.22392020910294966,0.5185487502249305,1.0,0.04198344103741284,0.19073375965056288,0.4310660858121612,-0.0004719097055111651,0.08084075874811145,0.05784538456445346,-0.000798291418921988,-0.06854564775138176,-0.012071554057651736,0.0600561559040995,0.024938639265210703,0.07612628320784301,0.08723051405247323,0.03252640227826348,0.025253284797424023,0.0266042895006785
EARNINGS_QUALITY,0.16774315150375588,0.3103832896680481,0.04198344103741284,1.0,-0.07002901606571477,0.1001545741755214,-0.1719211489379129,0.11390555380530373,0.1338131537575905,-0.08360887404745726,-0.19663475985676654,-0.09189760286016765,0.12404185379193487,0.08551154191439188,0.13463733671048878,0.11433615814805559,0.07246134230980389,0.11041064202981217,0.26668790061365316
VALUE_QUALITY,0.35581116442173505,-0.02925629118624344,0.19073375965056288,-0.07002901606571477,1.0,0.19822462452681952,0.0661890700387753,-0.09665020777596516,-0.10850654148374565,-0.005086955467981549,0.0581272207729296,-0.03000717186427272,-0.11590198974795675,-0.09677877773085777,-0.07833891848565105,-0.09383739719166355,-0.1266713493396134,-0.13715802336892358,-0.023297931186918495
PROFITABLE_SMALL_CAP,0.2728165585666891,0.3963954100799473,0.4310660858121612,0.1001545741755214,0.19822462452681952,1.0,-0.13876440396424866,-0.03698384411731917,-0.06747763917746818,-0.13920638277343203,-0.1930369178698486,-0.12078293123555996,-0.04866424698861869,0.02872032107589869,0.013343467366297398,-0.03438469356935243,-0.0892967818853917,-0.07121583499219021,0.1849101523924205
C2A2_020,0.2211423666642583,-0.14173072615977575,-0.0004719097055111651,-0.1719211489379129,0.0661890700387753,-0.13876440396424866,1.0,0.22183628753511986,0.21917099029666043,0.7622102335676428,0.721410955888966,0.7621832033508191,0.22589446091950321,0.3113236323469653,0.018042853517999984,0.3052071237078242,0.414961768475863,0.27893651916992424,-0.5422394961657446
C3A1_002,0.12387589380312473,0.1302614411170829,0.08084075874811145,0.11390555380530373,-0.09665020777596516,-0.03698384411731917,0.22183628753511986,1.0,0.7452176184729175,0.5267144727994159,0.04159455576223519,0.25070550427492616,0.8648346101602753,0.2659832749386588,0.7808351712985868,0.9055453584416956,0.6674976288044404,0.681709186175229,0.04713097332616771
C3A1_003,0.09989361636402483,0.12271767029372062,0.05784538456445346,0.1338131537575905,-0.10850654148374565,-0.06747763917746818,0.21917099029666043,0.7452176184729175,1.0,0.5095028199394437,0.04952062972272725,0.2130955367189432,0.8142789075353466,0.22372026402154005,0.6863113949168326,0.7353028624563764,0.8162748112974859,0.822376560907887,0.0636698466475085
C3A1_006,0.21873852085634996,-0.027518022764343522,-0.000798291418921988,-0.08360887404745726,-0.005086955467981549,-0.13920638277343203,0.7622102335676428,0.5267144727994159,0.5095028199394437,1.0,0.5294938869630019,0.6699517380725858,0.5464263119638867,0.3132799307509306,0.32135543924901877,0.6343872463688397,0.691576696675909,0.5967504281358149,-0.3284044774566165
C3A1_012,0.07281402593491548,-0.15817407366925632,-0.06854564775138176,-0.19663475985676654,0.0581272207729296,-0.1930369178698486,0.721410955888966,0.04159455576223519,0.04952062972272725,0.5294938869630019,1.0,0.7313373177906727,0.06897502728780441,0.40628020866200243,-0.1879501538194315,0.0757758374171352,0.17260628696687177,0.040215734858381265,-0.5061777274725464
C3A1_013,0.1720664582243403,-0.0451869547783959,-0.012071554057651736,-0.09189760286016765,-0.03000717186427272,-0.12078293123555996,0.7621832033508191,0.25070550427492616,0.2130955367189432,0.6699517380725858,0.7313373177906727,1.0,0.2438413823587827,0.6722611512466459,-0.01739349990022727,0.32348910841434064,0.36578686229787394,0.24558387937841403,-0.4387943378064413
C3A2_008,0.11794242994130057,0.15017776687305065,0.0600561559040995,0.12404185379193487,-0.11590198974795675,-0.04866424698861869,0.22589446091950321,0.8648346101602753,0.8142789075353466,0.5464263119638867,0.06897502728780441,0.2438413823587827,1.0,0.2567617256551956,0.7483185990975043,0.8263892157658814,0.7359937815031585,0.7429659403638441,0.05757974117400386
C3A2_009,0.11567236035041195,0.1280210175322022,0.024938639265210703,0.08551154191439188,-0.09677877773085777,0.02872032107589869,0.3113236323469653,0.2659832749386588,0.22372026402154005,0.3132799307509306,0.40628020866200243,0.6722611512466459,0.2567617256551956,1.0,0.10954359648082328,0.293015876729693,0.24896165486623872,0.21321228173537465,-0.05725813242833094
C3A1_001,0.11327994564823288,0.1394485115130445,0.07612628320784301,0.13463733671048878,-0.07833891848565105,0.013343467366297398,0.018042853517999984,0.7808351712985868,0.6863113949168326,0.32135543924901877,-0.1879501538194315,-0.01739349990022727,0.7483185990975043,0.10954359648082328,1.0,0.7466982835260356,0.5958275896948034,0.6522693843717937,0.1773839304089699
C3A1_004,0.15678624683136677,0.14923149504597388,0.08723051405247323,0.11433615814805559,-0.09383739719166355,-0.03438469356935243,0.3052071237078242,0.9055453584416956,0.7353028624563764,0.6343872463688397,0.0757758374171352,0.32348910841434064,0.8263892157658814,0.293015876729693,0.7466982835260356,1.0,0.7373751664245206,0.7338967401661403,0.008730473336374356
C3A1_005,0.16594949633128556,0.10071527970891403,0.03252640227826348,0.07246134230980389,-0.1266713493396134,-0.0892967818853917,0.414961768475863,0.6674976288044404,0.8162748112974859,0.691576696675909,0.17260628696687177,0.36578686229787394,0.7359937815031585,0.24896165486623872,0.5958275896948034,0.7373751664245206,1.0,0.9608960234519018,-0.05682797995483675
C3A1_015,0.14841147636115767,0.12034210478183911,0.025253284797424023,0.11041064202981217,-0.13715802336892358,-0.07121583499219021,0.27893651916992424,0.681709186175229,0.822376560907887,0.5967504281358149,0.040215734858381265,0.24558387937841403,0.7429659403638441,0.21321228173537465,0.6522693843717937,0.7338967401661403,0.9608960234519018,1.0,0.03781672592561487
C2A2_004,0.01611343682417809,0.19895865639346605,0.0266042895006785,0.26668790061365316,-0.023297931186918495,0.1849101523924205,-0.5422394961657446,0.04713097332616771,0.0636698466475085,-0.3284044774566165,-0.5061777274725464,-0.4387943378064413,0.05757974117400386,-0.05725813242833094,0.1773839304089699,0.008730473336374356,-0.05682797995483675,0.03781672592561487,1.0
